,warning_id,warning_text,ftrapv_log_count,frwapv_log_count,Wnarrowing_log_count
10,10,"INFO: From Compiling tensorflow/core/framework/allocator_registry.cc [for host]:
tensorflow/core/framework/allocator_registry.cc: In member function 'tensorflow::SubAllocator* tensorflow::AllocatorFactoryRegistry::GetSubAllocator(int)':
tensorflow/core/framework/allocator_registry.cc:116:43: warning: comparison of integer expressions of different signedness: 'std::vector<std::unique_ptr<tensorflow::SubAllocator> >::size_type' {aka 'long unsigned int'} and 'int' [-Wsign-compare]
  116 |     if (best_entry->sub_allocators.size() < (index + 1)) {
      |         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^~~~~~~~~~~~~
",1,0,1
11,11,"INFO: From Compiling tensorflow/core/framework/cpu_allocator_impl.cc [for host]:
tensorflow/core/framework/cpu_allocator_impl.cc: In member function 'virtual void* tensorflow::{anonymous}::CPUAllocator::AllocateRaw(size_t, size_t)':
tensorflow/core/framework/cpu_allocator_impl.cc:78:19: warning: comparison of integer expressions of different signedness: 'size_t' {aka 'long unsigned int'} and 'int64_t' {aka 'long int'} [-Wsign-compare]
   78 |     if (num_bytes > LargeAllocationWarningBytes() &&
      |         ~~~~~~~~~~^~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
",1,1,1
12,12,"INFO: From Compiling tensorflow/core/framework/allocator_registry.cc:
tensorflow/core/framework/allocator_registry.cc: In member function 'tensorflow::SubAllocator* tensorflow::AllocatorFactoryRegistry::GetSubAllocator(int)':
tensorflow/core/framework/allocator_registry.cc:116:43: warning: comparison of integer expressions of different signedness: 'std::vector<std::unique_ptr<tensorflow::SubAllocator> >::size_type' {aka 'long unsigned int'} and 'int' [-Wsign-compare]
  116 |     if (best_entry->sub_allocators.size() < (index + 1)) {
      |         ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^~~~~~~~~~~~~
[4,007 / 6,140] Compiling external/aws/aws-cpp-sdk-transfer/source/transfer/TransferManager.cpp; 9s local ... (16 actions, 15 running)
",1,0,0
13,13,"INFO: From Compiling tensorflow/lite/experimental/microfrontend/lib/fft.cc [for host]:
tensorflow/lite/experimental/microfrontend/lib/fft.cc: In function 'void FftCompute(FftState*, const int16_t*, int)':
tensorflow/lite/experimental/microfrontend/lib/fft.cc:31:17: warning: comparison of integer expressions of different signedness: 'int' and 'const size_t' {aka 'const long unsigned int'} [-Wsign-compare]
   31 |   for (i = 0; i < input_size; ++i) {
      |               ~~^~~~~~~~~~~~
tensorflow/lite/experimental/microfrontend/lib/fft.cc:36:12: warning: comparison of integer expressions of different signedness: 'int' and 'const size_t' {aka 'const long unsigned int'} [-Wsign-compare]
   36 |   for (; i < fft_size; ++i) {
      |          ~~^~~~~~~~~~
",2,2,1
14,14,"INFO: From Compiling tensorflow/python/util/tf_stack.cc [for host]:
tensorflow/python/util/tf_stack.cc: In member function 'bool tensorflow::{anonymous}::FrameSummary::operator==(const tensorflow::{anonymous}::FrameSummary&) const':
tensorflow/python/util/tf_stack.cc:61:30: warning: 'bool pybind11::handle::operator==(const pybind11::handle&) const' is deprecated: Use obj1.is(obj2) instead [-Wdeprecated-declarations]
   61 |     return filename == other.filename && lineno == other.lineno &&
      |                              ^~~~~~~~
In file included from bazel-out/host/bin/external/pybind11/_virtual_includes/pybind11/pybind11/cast.h:13,
                 from bazel-out/host/bin/external/pybind11/_virtual_includes/pybind11/pybind11/attr.h:13,
                 from bazel-out/host/bin/external/pybind11/_virtual_includes/pybind11/pybind11/pybind11.h:44,
                 from tensorflow/python/util/tf_stack.cc:22:
bazel-out/host/bin/external/pybind11/_virtual_includes/pybind11/pybind11/pytypes.h:211:10: note: declared here
  211 |     bool operator==(const handle &h) const { return m_ptr == h.m_ptr; }
      |          ^~~~~~~~
tensorflow/python/util/tf_stack.cc:62:26: warning: 'bool pybind11::handle::operator==(const pybind11::handle&) const' is deprecated: Use obj1.is(obj2) instead [-Wdeprecated-declarations]
   62 |            name == other.name && globals == other.globals;
      |                          ^~~~
In file included from bazel-out/host/bin/external/pybind11/_virtual_includes/pybind11/pybind11/cast.h:13,
                 from bazel-out/host/bin/external/pybind11/_virtual_includes/pybind11/pybind11/attr.h:13,
                 from bazel-out/host/bin/external/pybind11/_virtual_includes/pybind11/pybind11/pybind11.h:44,
                 from tensorflow/python/util/tf_stack.cc:22:
bazel-out/host/bin/external/pybind11/_virtual_includes/pybind11/pybind11/pytypes.h:211:10: note: declared here
  211 |     bool operator==(const handle &h) const { return m_ptr == h.m_ptr; }
      |          ^~~~~~~~
tensorflow/python/util/tf_stack.cc:62:51: warning: 'bool pybind11::handle::operator==(const pybind11::handle&) const' is deprecated: Use obj1.is(obj2) instead [-Wdeprecated-declarations]
   62 |            name == other.name && globals == other.globals;
      |                                                   ^~~~~~~
In file included from bazel-out/host/bin/external/pybind11/_virtual_includes/pybind11/pybind11/cast.h:13,
                 from bazel-out/host/bin/external/pybind11/_virtual_includes/pybind11/pybind11/attr.h:13,
                 from bazel-out/host/bin/external/pybind11/_virtual_includes/pybind11/pybind11/pybind11.h:44,
                 from tensorflow/python/util/tf_stack.cc:22:
bazel-out/host/bin/external/pybind11/_virtual_includes/pybind11/pybind11/pytypes.h:211:10: note: declared here
  211 |     bool operator==(const handle &h) const { return m_ptr == h.m_ptr; }
      |          ^~~~~~~~
tensorflow/python/util/tf_stack.cc: In function 'std::vector<tensorflow::{anonymous}::FrameSummary> tensorflow::{anonymous}::ExtractStack(ssize_t, const pybind11::list&, const pybind11::list&)':
tensorflow/python/util/tf_stack.cc:86:51: warning: comparison of integer expressions of different signedness: 'std::vector<tensorflow::{anonymous}::FrameSummary>::size_type' {aka 'long unsigned int'} and 'ssize_t' {aka 'long int'} [-Wsign-compare]
   86 |   for (; f != nullptr && (limit < 0 || ret.size() < limit); f = f->f_back) {
      |                                        ~~~~~~~~~~~^~~~~~~
",1,1,1
15,15,"INFO: From Compiling external/com_github_grpc_grpc/src/core/tsi/ssl_transport_security.cc [for host]:
external/com_github_grpc_grpc/src/core/tsi/ssl_transport_security.cc: In function 'tsi_result tsi_ssl_get_cert_chain_contents(stack_st_X509*, tsi_peer_property*)':
external/com_github_grpc_grpc/src/core/tsi/ssl_transport_security.cc:1032:21: warning: comparison of integer expressions of different signedness: 'int' and 'size_t' {aka 'long unsigned int'} [-Wsign-compare]
 1032 |   for (int i = 0; i < sk_X509_num(peer_chain); i++) {
      |                   ~~^~~~~~~~~~~~~~~~~~~~~~~~~
",1,1,1
16,16,"INFO: From Compiling tensorflow/core/profiler/internal/parse_annotation.cc [for host]:
tensorflow/core/profiler/internal/parse_annotation.cc: In function 'std::vector<absl::lts_2020_02_25::string_view> tensorflow::profiler::{anonymous}::SplitPairs(absl::lts_2020_02_25::string_view)':
tensorflow/core/profiler/internal/parse_annotation.cc:54:14: warning: comparison of integer expressions of different signedness: 'int' and 'absl::lts_2020_02_25::string_view::size_type' {aka 'long unsigned int'} [-Wsign-compare]
   54 |   for (; end < metadata.size(); ++end) {
      |          ~~~~^~~~~~~~~~~~~~~~~
[5,690 / 11,760] Compiling external/mkl_dnn/src/cpu/gemm/f32/jit_avx512_core_f32_copy_at_kern.cpp [for host]; 90s local ... (16 actions, 15 running)
",1,0,0
17,17,"INFO: From Compiling tensorflow/compiler/mlir/xla/ir/chlo_ops.cc [for host]:
tensorflow/compiler/mlir/xla/ir/chlo_ops.cc: In function 'mlir::Type mlir::xla_chlo::{anonymous}::GetBroadcastType(mlir::Type, mlir::Type, mlir::Type, mlir::DenseIntElementsAttr)':
tensorflow/compiler/mlir/xla/ir/chlo_ops.cc:52:23: warning: comparison of integer expressions of different signedness: 'int' and 'size_t' {aka 'long unsigned int'} [-Wsign-compare]
   52 |     for (int i = 0; i < shape_x.size(); i++) {
      |                     ~~^~~~~~~~~~~~~~~~
",1,1,1
18,18,"INFO: From Compiling tensorflow/core/platform/status.cc [for host]:
tensorflow/core/platform/status.cc: In member function 'virtual void tensorflow::{anonymous}::StatusLogSink::Send(const tensorflow::TFLogEntry&)':
tensorflow/core/platform/status.cc:77:26: warning: comparison of integer expressions of different signedness: 'std::deque<std::__cxx11::basic_string<char> >::size_type' {aka 'long unsigned int'} and 'int' [-Wsign-compare]
   77 |     if (messages_.size() > num_messages_) messages_.pop_front();
      |         ~~~~~~~~~~~~~~~~~^~~~~~~~~~~~~~~
",2,2,2
19,19,"INFO: From Compiling tensorflow/core/platform/file_system_helper.cc [for host]:
tensorflow/core/platform/file_system_helper.cc: In function 'tensorflow::Status tensorflow::internal::GetMatchingPaths(tensorflow::FileSystem*, tensorflow::Env*, const string&, std::vector<std::__cxx11::basic_string<char> >*)':
tensorflow/core/platform/file_system_helper.cc:106:23: warning: comparison of integer expressions of different signedness: 'int' and 'std::vector<std::__cxx11::basic_string<char> >::size_type' {aka 'long unsigned int'} [-Wsign-compare]
  106 |     for (int i = 0; i < children.size(); ++i) {
      |                     ~~^~~~~~~~~~~~~~~~~
",1,1,1
20,20,"INFO: From Compiling tensorflow/core/platform/file_system.cc [for host]:
tensorflow/core/platform/file_system.cc: In member function 'tensorflow::StringPiece tensorflow::FileSystem::Extension(tensorflow::StringPiece) const':
tensorflow/core/platform/file_system.cc:312:11: warning: comparison of integer expressions of different signedness: 'int' and 'const size_type' {aka 'const long unsigned int'} [-Wsign-compare]
  312 |   if (pos == StringPiece::npos) {
      |       ~~~~^~~~~~~~~~~~~~~~~~~~
",1,1,1
21,21,"INFO: From Compiling tensorflow/core/platform/env.cc [for host]:
tensorflow/core/platform/env.cc: In member function 'bool tensorflow::Env::FilesExist(const std::vector<std::__cxx11::basic_string<char> >&, std::vector<tensorflow::Status>*)':
tensorflow/core/platform/env.cc:217:25: warning: comparison of integer expressions of different signedness: 'int' and 'std::vector<std::__cxx11::basic_string<char> >::size_type' {aka 'long unsigned int'} [-Wsign-compare]
  217 |       for (int i = 0; i < itr.second.size(); ++i) {
      |                       ~~^~~~~~~~~~~~~~~~~~~
",1,1,1
22,22,"INFO: From Compiling tensorflow/core/lib/io/random_inputstream.cc [for host]:
tensorflow/core/lib/io/random_inputstream.cc: In member function 'virtual tensorflow::Status tensorflow::io::RandomAccessInputStream::SkipNBytes(tensorflow::int64)':
tensorflow/core/lib/io/random_inputstream.cc:95:21: warning: comparison of integer expressions of different signedness: 'absl::lts_2020_02_25::string_view::size_type' {aka 'long unsigned int'} and 'tensorflow::int64' {aka 'long long int'} [-Wsign-compare]
   95 |     if (data.size() < bytes_to_read) {
      |         ~~~~~~~~~~~~^~~~~~~~~~~~~~~
",1,1,1
23,23,"INFO: From Compiling tensorflow/core/lib/io/snappy/snappy_inputbuffer.cc [for host]:
tensorflow/core/lib/io/snappy/snappy_inputbuffer.cc: In member function 'tensorflow::Status tensorflow::io::SnappyInputBuffer::ReadCompressedBlockLength(tensorflow::uint32*)':
tensorflow/core/lib/io/snappy/snappy_inputbuffer.cc:137:23: warning: comparison of integer expressions of different signedness: 'int' and 'size_t' {aka 'long unsigned int'} [-Wsign-compare]
  137 |     for (int i = 0; i < readable; i++) {
      |                     ~~^~~~~~~~~~
",1,1,1
24,24,"INFO: From Compiling tensorflow/core/lib/io/inputbuffer.cc [for host]:
tensorflow/core/lib/io/inputbuffer.cc: In member function 'tensorflow::Status tensorflow::io::InputBuffer::ReadNBytes(tensorflow::int64, std::string*)':
tensorflow/core/lib/io/inputbuffer.cc:88:18: warning: comparison of integer expressions of different signedness: 'size_t' {aka 'long unsigned int'} and 'tensorflow::int64' {aka 'long long int'} [-Wsign-compare]
   88 |   if (bytes_read < bytes_to_read) result->resize(bytes_read);
      |       ~~~~~~~~~~~^~~~~~~~~~~~~~~
tensorflow/core/lib/io/inputbuffer.cc: In member function 'tensorflow::Status tensorflow::io::InputBuffer::Hint(tensorflow::int64)':
tensorflow/core/lib/io/inputbuffer.cc:207:21: warning: comparison of integer expressions of different signedness: 'tensorflow::int64' {aka 'long long int'} and 'size_t' {aka 'long unsigned int'} [-Wsign-compare]
  207 |   if (bytes_to_read > size_) {
      |       ~~~~~~~~~~~~~~^~~~~~~
tensorflow/core/lib/io/inputbuffer.cc:233:46: warning: comparison of integer expressions of different signedness: 'absl::lts_2020_02_25::string_view::size_type' {aka 'long unsigned int'} and 'tensorflow::int64' {aka 'long long int'} [-Wsign-compare]
  233 |   if (errors::IsOutOfRange(s) && data.size() == bytes_to_read) {
      |                                  ~~~~~~~~~~~~^~~~~~~~~~~~~~~~
",1,1,1
25,25,"INFO: From Compiling tensorflow/core/lib/io/zlib_outputbuffer.cc [for host]:
tensorflow/core/lib/io/zlib_outputbuffer.cc: In member function 'void tensorflow::io::ZlibOutputBuffer::AddToInputBuffer(tensorflow::StringPiece)':
tensorflow/core/lib/io/zlib_outputbuffer.cc:101:22: warning: comparison of integer expressions of different signedness: 'size_t' {aka 'long unsigned int'} and 'tensorflow::int32' {aka 'int'} [-Wsign-compare]
  101 |   if (bytes_to_write > free_tail_bytes) {
      |       ~~~~~~~~~~~~~~~^~~~~~~~~~~~~~~~~
tensorflow/core/lib/io/zlib_outputbuffer.cc: In member function 'virtual tensorflow::Status tensorflow::io::ZlibOutputBuffer::Append(tensorflow::StringPiece)':
tensorflow/core/lib/io/zlib_outputbuffer.cc:157:22: warning: comparison of integer expressions of different signedness: 'size_t' {aka 'long unsigned int'} and 'tensorflow::int32' {aka 'int'} [-Wsign-compare]
  157 |   if (bytes_to_write <= AvailableInputSpace()) {
      |       ~~~~~~~~~~~~~~~^~~~~~~~~~~~~~~~~~~~~~~~
tensorflow/core/lib/io/zlib_outputbuffer.cc:165:22: warning: comparison of integer expressions of different signedness: 'size_t' {aka 'long unsigned int'} and 'tensorflow::int32' {aka 'int'} [-Wsign-compare]
  165 |   if (bytes_to_write <= AvailableInputSpace()) {
      |       ~~~~~~~~~~~~~~~^~~~~~~~~~~~~~~~~~~~~~~~
",1,1,1
26,26,"INFO: From Compiling tensorflow/core/lib/io/snappy/snappy_outputbuffer.cc [for host]:
tensorflow/core/lib/io/snappy/snappy_outputbuffer.cc: In member function 'tensorflow::Status tensorflow::io::SnappyOutputBuffer::Write(tensorflow::StringPiece)':
tensorflow/core/lib/io/snappy/snappy_outputbuffer.cc:79:22: warning: comparison of integer expressions of different signedness: 'size_t' {aka 'long unsigned int'} and 'tensorflow::int32' {aka 'int'} [-Wsign-compare]
   79 |   if (bytes_to_write <= AvailableInputSpace()) {
      |       ~~~~~~~~~~~~~~~^~~~~~~~~~~~~~~~~~~~~~~~
tensorflow/core/lib/io/snappy/snappy_outputbuffer.cc:90:22: warning: comparison of integer expressions of different signedness: 'size_t' {aka 'long unsigned int'} and 'tensorflow::int32' {aka 'int'} [-Wsign-compare]
   90 |   if (bytes_to_write <= AvailableInputSpace()) {
      |       ~~~~~~~~~~~~~~~^~~~~~~~~~~~~~~~~~~~~~~~
tensorflow/core/lib/io/snappy/snappy_outputbuffer.cc: In member function 'void tensorflow::io::SnappyOutputBuffer::AddToInputBuffer(tensorflow::StringPiece)':
tensorflow/core/lib/io/snappy/snappy_outputbuffer.cc:147:22: warning: comparison of integer expressions of different signedness: 'size_t' {aka 'long unsigned int'} and 'const int32' {aka 'const int'} [-Wsign-compare]
  147 |   if (bytes_to_write > free_tail_bytes) {
      |       ~~~~~~~~~~~~~~~^~~~~~~~~~~~~~~~~
",1,1,1
27,27,"INFO: From Compiling tensorflow/core/framework/tensor_shape.cc [for host]:
tensorflow/core/framework/tensor_shape.cc: In instantiation of 'void tensorflow::TensorShapeBase<Shape>::InitDims(tensorflow::gtl::ArraySlice<long long int>) [with Shape = tensorflow::TensorShape; tensorflow::gtl::ArraySlice<long long int> = absl::lts_2020_02_25::Span<const long long int>]':
tensorflow/core/framework/tensor_shape.cc:791:16:   required from here
tensorflow/core/framework/tensor_shape.cc:190:11: warning: comparison of integer expressions of different signedness: 'long long int' and 'const uint64' {aka 'const long long unsigned int'} [-Wsign-compare]
  190 |     if (s > kMaxSmall) {
      |         ~~^~~~~~~~~~~
tensorflow/core/framework/tensor_shape.cc: In instantiation of 'void tensorflow::TensorShapeBase<Shape>::InitDims(tensorflow::gtl::ArraySlice<long long int>) [with Shape = tensorflow::PartialTensorShape; tensorflow::gtl::ArraySlice<long long int> = absl::lts_2020_02_25::Span<const long long int>]':
tensorflow/core/framework/tensor_shape.cc:792:16:   required from here
tensorflow/core/framework/tensor_shape.cc:190:11: warning: comparison of integer expressions of different signedness: 'long long int' and 'const uint64' {aka 'const long long unsigned int'} [-Wsign-compare]
",1,1,1
